ensembl_gene_id	hgnc_symbol	band	chromosome_name	start_position	end_position	gene_biotype	strand
ENSG00000261657	SLC25A26	p14.1	HG991_PATCH	66119285	66465398	protein_coding	1
ENSG00000261530	BTC	q13.3	HG706_PATCH	75610476	75660403	protein_coding	-1
ENSG00000260334	GAST	q21.2	HG185_PATCH	39868578	39872221	protein_coding	1
ENSG00000261125	HAP1	q21.2	HG185_PATCH	39873994	39890896	protein_coding	-1
ENSG00000261577	JUP	q21.2	HG185_PATCH	39910856	39943183	protein_coding	-1
ENSG00000261258	FKBP10	q21.2	HG185_PATCH	39968962	39979465	protein_coding	1
ENSG00000260753	NT5C3B	q21.2	HG185_PATCH	39981433	39992515	protein_coding	-1
ENSG00000215405	GOLGA6L6	q11.2	15	20737094	20747114	protein_coding	-1
ENSG00000261631	KLHL10	q21.2	HG185_PATCH	39991937	40004636	protein_coding	1
ENSG00000230031	POTEB2	q11.2	15	21040701	21071643	protein_coding	-1
ENSG00000259896	KLHL11	q21.2	HG185_PATCH	40009797	40021683	protein_coding	-1
ENSG00000138593	SECISBP2L	q21.1	15	49280673	49338760	protein_coding	-1
ENSG00000233917	POTEB	q11.2	15	22051853	22083227	protein_coding	-1
ENSG00000166157	TPTE	p11.1	21	10906201	11029719	protein_coding	-1
ENSG00000260245	ACLY	q21.2	HG185_PATCH	40023160	40075239	protein_coding	-1
ENSG00000260703	TTC25	q21.2	HG185_PATCH	40086887	40121903	protein_coding	1
ENSG00000166351	POTED	q11.2	21	14982498	15013906	protein_coding	1
ENSG00000260283	CNP	q21.2	HG185_PATCH	40122993	40131428	protein_coding	1
ENSG00000168675	LDLRAD4	p11.21	18	13217497	13652754	protein_coding	1
ENSG00000262684	DNAJC7	q21.2	HG185_PATCH	40132691	40173905	protein_coding	-1
ENSG00000188992	LIPI	q11.2	21	15481134	15583166	protein_coding	-1
ENSG00000185272	RBM11	q11.2	21	15588451	15600693	protein_coding	1
ENSG00000182974	OR4M2	q11.2	15	22368478	22369561	protein_coding	1
ENSG00000260770	NKIRAS2	q21.2	HG185_PATCH	40173272	40181893	protein_coding	1
ENSG00000183706	OR4N4	q11.2	15	22382382	22383507	protein_coding	1
ENSG00000155304	HSPA13	q11.2	21	15743436	15755805	protein_coding	-1
ENSG00000260320	ZNF385C	q21.2	HG185_PATCH	40181828	40219330	protein_coding	-1
ENSG00000197414	GOLGA6L1	q11.2	15	22736246	22746002	protein_coding	1
ENSG00000260178	DHX58	q21.2	HG185_PATCH	40257656	40268985	protein_coding	-1
ENSG00000166200	COPS2	q21.1	15	49398268	49447858	protein_coding	-1
ENSG00000155307	SAMSN1	q11.2	21	15857549	15955723	protein_coding	-1
ENSG00000259958	KAT2A	q21.2	HG185_PATCH	40269360	40277610	protein_coding	-1
ENSG00000260325	HSPB9	q21.2	HG185_PATCH	40277683	40279604	protein_coding	1
ENSG00000261378	RAB5C	q21.2	HG185_PATCH	40281228	40311269	protein_coding	-1
ENSG00000153575	TUBGCP5	q11.2	15	22833395	22873892	protein_coding	1
ENSG00000180530	NRIP1	q21.1	21	16333556	16437321	protein_coding	-1
ENSG00000137824	RMDN3	q15.1	15	41028082	41048049	protein_coding	-1
ENSG00000261371	PECAM1	q23.3	HG183_PATCH	62399863	62491136	protein_coding	-1
ENSG00000263304	MILR1	q23.3	HG183_PATCH	62526397	62546003	protein_coding	1
ENSG00000137880	GCHFR	q15.1	15	41056218	41059906	protein_coding	1
ENSG00000262917	POLG2	q23.3	HG183_PATCH	62555145	62574426	protein_coding	-1
ENSG00000104129	DNAJC17	q15.1	15	41060067	41099675	protein_coding	-1
ENSG00000177150	FAM210A	p11.21	18	13663346	13726662	protein_coding	-1
ENSG00000155313	USP25	q21.1	21	17102344	17252377	protein_coding	1
ENSG00000263077	DDX5	q23.3	HG183_PATCH	62576980	62585072	protein_coding	-1
ENSG00000101638	ST8SIA5	q21.1	18	44259081	44339220	protein_coding	-1
ENSG00000232560	C21orf37	q21.1	21	18811208	18821503	protein_coding	1
ENSG00000263046	CEP95	q23.3	HG183_PATCH	62584096	62615309	protein_coding	1
ENSG00000154639	CXADR	q21.1	21	18884700	18965897	protein_coding	1
ENSG00000101654	RNMT	p11.21	18	13726659	13764557	protein_coding	1
ENSG00000261074	QSOX2	q34.3	HG998_1_PATCH	139098179	139137687	protein_coding	-1
ENSG00000078043	PIAS2	q21.1	18	44388353	44500123	protein_coding	-1
ENSG00000156958	GALK2	q21.1	15	49447853	49660066	protein_coding	1
ENSG00000154640	BTG3	q21.1	21	18965971	18985265	protein_coding	-1
ENSG00000188277	C15orf62	q15.1	15	41062159	41064643	protein_coding	1
ENSG00000249139	EPPIN-WFDC6	q13.12	20	44165625	44176065	protein_coding	-1
ENSG00000260587	DOCK3	p21.2	HG186_PATCH	50712672	51421329	protein_coding	1
ENSG00000259880	MANF	p21.2	HG186_PATCH	51422478	51426828	protein_coding	1
ENSG00000158901	WFDC8	q13.12	20	44179792	44207965	protein_coding	-1
ENSG00000140416	TPM1	q22.2	15	63334831	63364114	protein_coding	1
ENSG00000259956	RBM15B	p21.2	HG186_PATCH	51428699	51435339	protein_coding	1
ENSG00000180205	WFDC9	q13.12	20	44236578	44259907	protein_coding	-1
ENSG00000154642	C21orf91	q21.1	21	19161284	19191703	protein_coding	-1
ENSG00000260383	MROH1	q24.3	HG243_PATCH	145202919	145316830	protein_coding	1
ENSG00000140577	CRTC3	q26.1	15	91073157	91188577	protein_coding	1
ENSG00000261236	BOP1	q24.3	HG243_PATCH	145317005	145346273	protein_coding	-1
ENSG00000166140	ZFYVE19	q15.1	15	41099284	41106767	protein_coding	1
ENSG00000101138	CSTF1	q13.2	20	54967427	54979518	protein_coding	1
ENSG00000154645	CHODL	q21.1	21	19273580	19639690	protein_coding	1
ENSG00000260623	VPRBP	p21.2	HG186_PATCH	51433298	51537425	protein_coding	-1
ENSG00000180305	WFDC10A	q13.12	20	44258165	44259835	protein_coding	1
ENSG00000068793	CYFIP1	q11.2	15	22892005	23006016	protein_coding	1
ENSG00000180083	WFDC11	q13.12	20	44277202	44298909	protein_coding	-1
ENSG00000182931	WFDC10B	q13.12	20	44313292	44333658	protein_coding	-1
ENSG00000154646	TMPRSS15	q21.1	21	19641433	19858197	protein_coding	-1
ENSG00000168634	WFDC13	q13.12	20	44330655	44337456	protein_coding	1
ENSG00000149651	SPINT4	q13.12	20	44350990	44354469	protein_coding	1
ENSG00000261132	HSF1	q24.3	HG243_PATCH	145346494	145369625	protein_coding	1
ENSG00000261443	RAD54L2	p21.2	HG186_PATCH	51579011	51701025	protein_coding	1
ENSG00000101365	IDH3B	p13	20	2639041	2644865	protein_coding	-1
ENSG00000167216	KATNAL2	q21.1	18	44497455	44627658	protein_coding	1
ENSG00000124116	WFDC3	q13.12	20	44376583	44420571	protein_coding	-1
ENSG00000087589	CASS4	q13.2	20	54987168	55034396	protein_coding	1
ENSG00000154654	NCAM2	q21.1	21	22370633	22915650	protein_coding	1
ENSG00000166143	PPP1R14D	q15.1	15	41107650	41120907	protein_coding	-1
ENSG00000261698	DGAT1	q24.3	HG243_PATCH	145371194	145381813	protein_coding	-1
ENSG00000166262	FAM227B	q21.2	15	49619159	49913128	protein_coding	-1
ENSG00000176136	MC5R	p11.21	18	13824154	13826861	protein_coding	1
ENSG00000185231	MC2R	p11.21	18	13882043	13915706	protein_coding	-1
ENSG00000103642	LACTB	q22.2	15	63413999	63434260	protein_coding	1
ENSG00000197299	BLM	q26.1	15	91260558	91358859	protein_coding	1
ENSG00000154719	MRPL39	q21.3	21	26957968	26979829	protein_coding	-1
ENSG00000261678	SCRT1	q24.3	HG243_PATCH	145387965	145391184	protein_coding	-1
ENSG00000175322	ZNF519	p11.21	18	14057456	14132489	protein_coding	-1
ENSG00000101160	CTSZ	q13.32	20	57570240	57582302	protein_coding	-1
ENSG00000022277	RTFDC1	q13.31	20	55043647	55093943	protein_coding	1
ENSG00000166145	SPINT1	q15.1	15	41136216	41150405	protein_coding	1
ENSG00000088881	EBF4	p13	20	2673524	2740753	protein_coding	1
ENSG00000101162	TUBB1	q13.32	20	57594309	57601709	protein_coding	1
ENSG00000140285	FGF7	q21.2	15	49715293	49780972	protein_coding	1
ENSG00000183206	POTEC	p11.21	18	14507338	14543584	protein_coding	-1
ENSG00000101457	DNTTIP1	q13.12	20	44420576	44440066	protein_coding	1
ENSG00000266996	TCEB3CL2	q21.1	18	44542731	44544607	protein_coding	-1
ENSG00000154721	JAM2	q21.3	21	27011584	27089874	protein_coding	1
ENSG00000261042	SLC52A2	q24.3	HG243_PATCH	145409038	145416175	protein_coding	1
ENSG00000124172	ATP5E	q13.32	20	57600522	57607437	protein_coding	-1
ENSG00000234298	TCEB3CL	q21.1	18	44548658	44550534	protein_coding	-1
ENSG00000185088	RPS27L	q22.2	15	63418071	63450220	protein_coding	-1
ENSG00000183791	TCEB3C	q21.1	18	44554573	44556449	protein_coding	-1
ENSG00000206181	TCEB3B	q21.1	18	44558943	44561988	protein_coding	-1
ENSG00000170122	FOXD4	p24.3	9	116237	118417	protein_coding	-1
ENSG00000166128	RAB8B	q22.2	15	63481668	63559981	protein_coding	1
ENSG00000175063	UBE2C	q13.12	20	44441215	44445596	protein_coding	1
ENSG00000124091	GCNT7	q13.31	20	55066548	55100981	protein_coding	-1
ENSG00000101166	SLMO2	q13.32	20	57608200	57617964	protein_coding	-1
ENSG00000261539	FBXL6	q24.3	HG243_PATCH	145410334	145414279	protein_coding	-1
ENSG00000167220	HDHD2	q21.1	18	44633774	44676891	protein_coding	-1
ENSG00000154723	ATP5J	q21.3	21	27088815	27107984	protein_coding	-1
ENSG00000171448	ZBTB26	q33.2	9	125677845	125693779	protein_coding	-1
ENSG00000124103	FAM209A	q13.31	20	55092243	55101198	protein_coding	1
ENSG00000104047	DTWD1	q21.2	15	49913177	49937333	protein_coding	1
ENSG00000088882	CPXM1	p13	20	2774715	2781283	protein_coding	-1
ENSG00000213714	FAM209B	q13.31	20	55108302	55111576	protein_coding	1
ENSG00000104140	RHOV	q15.1	15	41164412	41166487	protein_coding	-1
ENSG00000140564	FURIN	q26.1	15	91411822	91426688	protein_coding	1
ENSG00000140157	NIPA2	q11.2	15	23004684	23034427	protein_coding	-1
ENSG00000261694	ADCK5	q24.3	HG243_PATCH	145428004	145448145	protein_coding	1
ENSG00000154727	GABPA	q21.3	21	27106881	27144771	protein_coding	1
ENSG00000087510	TFAP2C	q13.31	20	55204358	55214339	protein_coding	1
ENSG00000124203	ZNF831	q13.32	20	57766075	57834168	protein_coding	1
ENSG00000101470	TNNC2	q13.12	20	44451853	44462384	protein_coding	-1
ENSG00000104142	VPS18	q15.1	15	41186628	41196173	protein_coding	1
ENSG00000138613	APH1B	q22.2	15	63568217	63601325	protein_coding	1
ENSG00000011454	RABGAP1	q33.2	9	125703112	125867145	protein_coding	1
ENSG00000134049	IER3IP1	q21.1	18	44681413	44702745	protein_coding	-1
ENSG00000124205	EDN3	q13.32	20	57875482	57901047	protein_coding	1
ENSG00000128917	DLL4	q15.1	15	41221538	41231237	protein_coding	1
ENSG00000198326	TMEM239	p13	20	2795614	2800930	protein_coding	1
ENSG00000180777	ANKRD30B	p11.21	18	14728271	14852737	protein_coding	1
ENSG00000101144	BMP7	q13.31	20	55743804	55841685	protein_coding	-1
ENSG00000215474	SKOR2	q21.1	18	44746293	44775554	protein_coding	-1
ENSG00000258713	C20orf141	p13	20	2795633	2796479	protein_coding	1
ENSG00000261230	CPSF1	q24.3	HG243_PATCH	145448132	145464191	protein_coding	-1
ENSG00000188394	GPR21	q33.2	9	125796806	125797975	protein_coding	1
ENSG00000172785	CBWD1	p24.3	9	121041	188979	protein_coding	-1
ENSG00000132635	PCED1A	p13	20	2815960	2821836	protein_coding	-1
ENSG00000175387	SMAD2	q21.1	18	45357922	45457515	protein_coding	-1
ENSG00000104043	ATP8B4	q21.2	15	50150435	50475014	protein_coding	-1
ENSG00000165209	STRBP	q33.3	9	125871779	126030855	protein_coding	-1
ENSG00000261297	SLC39A4	q24.3	HG243_PATCH	145464645	145471798	protein_coding	-1
ENSG00000182511	FES	q26.1	15	91426925	91439006	protein_coding	1
ENSG00000170113	NIPA1	q11.2	15	23043277	23100005	protein_coding	-1
ENSG00000054796	SPO11	q13.31	20	55904815	55919050	protein_coding	1
ENSG00000074410	CA12	q22.2	15	63613577	63674360	protein_coding	-1
ENSG00000087495	PHACTR3	q13.32	20	58152564	58422766	protein_coding	1
ENSG00000183784	C9orf66	p24.3	9	213108	215893	protein_coding	-1
ENSG00000067900	ROCK1	q11.1	18	18526867	18691812	protein_coding	-1
ENSG00000128965	CHAC1	q15.1	15	41245160	41248710	protein_coding	1
ENSG00000260313	VPS28	q24.3	HG243_PATCH	145478520	145483451	protein_coding	-1
ENSG00000124104	SNX21	q13.12	20	44462449	44471914	protein_coding	1
ENSG00000148204	CRB2	q33.3	9	126118449	126142603	protein_coding	1
ENSG00000101146	RAE1	q13.31	20	55926066	55954267	protein_coding	1
ENSG00000215305	VPS16	p13	20	2821349	2847378	protein_coding	1
ENSG00000153666	GOLGA8I	q11.2	15	23255242	23268823	protein_coding	1
ENSG00000261772	IQSEC3	p13.33	HG858_PATCH	116765	228460	protein_coding	1
